id,Time_spent_Alone,Stage_fear,Social_event_attendance,Going_outside,Drained_after_socializing,Friends_circle_size,Post_frequency,Personality,extroversion_score,introversion_score,social_balance,social_fatigue,social_proactivity,solitude_preference,feature_mean,feature_std,feature_max,feature_min,is_pseudo,confidence
0,0.0,0.0,6.0,4.0,0.0,15.0,5.0,Extrovert,7.5,0.0,7.5,0.0,60.0,0.0,11.136526794808606,19.09716500926707,60.0,0.0,False,1.0
1,1.0,0.0,7.0,3.0,0.0,10.0,8.0,Extrovert,7.0,0.3333333333333333,6.666666666666667,0.0,30.0,2.0,6.992472045426131,9.314925991642209,30.0,0.0,False,1.0
2,6.0,2.0,1.0,0.0,1.0,3.0,0.0,Introvert,1.0,3.0,-2.0,1.0,0.0,0.0,1.3644233214763797,2.2322312303944876,6.0,-2.0,False,1.0
3,3.0,0.0,7.0,3.0,0.0,11.0,5.0,Extrovert,6.5,1.0,5.5,0.0,33.0,6.0,7.583747946405595,10.115473398928929,33.0,0.0,False,1.0
4,1.0,0.0,4.0,4.0,0.0,13.0,,Extrovert,7.0,0.3333333333333333,6.666666666666667,0.0,52.0,2.0,10.253091426972334,16.918388976268332,52.0,0.0,False,1.0
5,2.0,0.0,8.0,5.0,0.0,,3.0,Extrovert,5.333333333333333,0.6666666666666666,4.666666666666666,0.0,,4.0,3.0875492025771716,2.7471676602473765,8.0,0.0,False,1.0
6,1.0,0.0,8.0,,0.0,,4.0,Extrovert,6.0,0.3333333333333333,5.666666666666667,0.0,,2.0,2.9062444423427465,2.9766956248520517,8.0,0.0,False,1.0
7,2.0,0.0,8.0,3.0,0.0,4.0,5.0,Extrovert,5.0,0.6666666666666666,4.333333333333333,0.0,12.0,4.0,3.9510773045378573,3.7629009559625124,12.0,0.0,False,1.0
8,4.0,2.0,2.0,1.0,1.0,0.0,2.0,Introvert,1.25,2.3333333333333335,-1.0833333333333335,2.0,0.0,0.0,1.2950738841110465,1.4624954955191904,4.0,-1.0833333333333335,False,1.0
9,1.0,0.0,8.0,6.0,0.0,14.0,9.0,Extrovert,9.25,0.3333333333333333,8.916666666666666,0.0,84.0,2.0,15.288163925999717,26.586404814677064,84.0,0.0,False,1.0
10,3.0,0.0,7.0,4.0,0.0,5.0,10.0,Extrovert,6.5,1.0,5.5,0.0,20.0,6.0,5.803117942741461,6.086699455554448,20.0,0.0,False,1.0
11,2.0,0.0,6.0,3.0,0.0,4.0,8.0,Extrovert,5.25,0.6666666666666666,4.583333333333333,0.0,12.0,4.0,4.049277628698561,3.7933367943099783,12.0,0.0,False,1.0
12,3.0,0.0,5.0,4.0,0.0,9.0,6.0,Extrovert,6.0,1.0,5.0,0.0,36.0,6.0,7.800762783655042,11.037905785621662,36.0,0.0,False,1.0
13,3.0,1.0,,5.0,0.0,12.0,5.0,Extrovert,7.333333333333333,1.3333333333333333,6.0,,60.0,3.0,12.680071273763646,19.774381630151336,60.0,0.0,False,1.0
14,3.0,0.0,6.0,4.0,0.0,9.0,,Extrovert,6.333333333333333,1.0,5.333333333333333,0.0,36.0,6.0,8.052689237049304,11.36848042149551,36.0,0.0,False,1.0
15,,0.0,7.0,6.0,0.0,5.0,8.0,Extrovert,6.5,0.0,6.5,0.0,30.0,,7.586094885935371,9.662825507287401,30.0,0.0,False,1.0
16,0.0,0.0,6.0,4.0,0.0,8.0,10.0,Extrovert,7.0,0.0,7.0,0.0,32.0,0.0,7.084286492268037,10.054908148462584,32.0,0.0,False,1.0
17,5.0,1.0,0.0,4.0,2.0,2.0,0.0,Introvert,1.5,2.6666666666666665,-1.1666666666666665,0.0,8.0,5.0,2.4547607755460557,2.791470717820913,8.0,-1.1666666666666665,False,1.0
18,1.0,0.0,4.0,4.0,0.0,11.0,9.0,Extrovert,7.0,0.3333333333333333,6.666666666666667,0.0,44.0,2.0,8.917941657712198,13.778813935112762,44.0,0.0,False,1.0
19,1.0,0.0,,5.0,0.0,10.0,3.0,Extrovert,6.0,0.3333333333333333,5.666666666666667,,50.0,2.0,10.33139673687994,16.628685795491414,50.0,0.0,False,1.0
20,1.0,0.0,9.0,3.0,0.0,10.0,7.0,Extrovert,7.25,0.3333333333333333,6.916666666666667,0.0,30.0,2.0,7.089450030369907,9.323734918591693,30.0,0.0,False,1.0
21,6.0,2.0,3.0,2.0,2.0,1.0,3.0,Introvert,2.25,3.3333333333333335,-1.0833333333333335,6.0,2.0,0.0,2.4023627319942693,2.1401070777920257,6.0,-1.0833333333333335,False,1.0
